City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Brewster,US,41.3973,-73.6171,26.71,76,12,1.01,few clouds
194,Jaszszentlaszlo,HU,46.5668,19.7607,34.95,67,33,7.09,scattered clouds
195,Tiksi,RU,71.6872,128.8694,-22.58,98,89,7.54,overcast clouds
196,Coquimbo,CL,-29.9533,-71.3436,70.65,69,1,9.44,clear sky
197,Purpe,RU,64.4803,76.6897,-15.99,100,88,4.32,overcast clouds
198,Puerto Escondido,MX,15.85,-97.0667,82.96,56,0,8.03,clear sky
199,Tuatapere,NZ,-46.1333,167.6833,53.82,82,99,3.8,overcast clouds
200,Marsh Harbour,BS,26.5412,-77.0636,74.25,57,0,6.22,clear sky
201,Nouadhibou,MR,20.931,-17.0347,66.18,94,0,16.11,clear sky
202,Tautira,PF,-17.7333,-149.15,86.02,73,25,19.84,scattered clouds
203,Pisco,PE,-13.7,-76.2167,71.02,79,8,8.75,clear sky
204,Osakarovka,KZ,50.565,72.5692,3.42,64,6,10.67,clear sky
205,Cascais,PT,38.6979,-9.4215,55.47,70,11,1.01,few clouds
206,Kahului,US,20.8947,-156.47,79.86,79,6,11.01,clear sky
207,Port Elizabeth,ZA,-33.918,25.5701,70.11,82,46,22.48,scattered clouds
208,Doha,QA,25.2867,51.5333,62.58,55,0,11.5,clear sky
209,Fairbanks,US,64.8378,-147.7164,10.31,79,98,2.21,overcast clouds
210,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.0,80,100,2.06,overcast clouds
211,Hambantota,LK,6.1241,81.1185,73.17,85,51,13.18,broken clouds
212,Torbay,CA,47.6666,-52.7314,50.77,94,100,19.57,light rain
213,Solnechnyy,RU,50.7214,136.6319,2.32,98,100,0.81,overcast clouds
214,San Cristobal,VE,7.7669,-72.225,72.45,79,90,2.44,overcast clouds
215,Saskylakh,RU,71.9167,114.0833,-27.35,100,99,2.93,overcast clouds
216,Parabel,RU,58.6978,81.4825,18.57,93,100,5.86,overcast clouds
217,Merauke,ID,-8.4667,140.3333,78.35,92,100,10.33,overcast clouds
218,Moron,AR,-34.6534,-58.6198,71.01,74,47,12.44,scattered clouds
219,Kathmandu,NP,27.7167,85.3167,41.22,100,20,2.3,few clouds
220,Marawi,PH,7.9986,124.2928,64.65,92,11,1.66,few clouds
221,Sayyan,YE,15.1718,44.3244,57.15,61,70,3.53,broken clouds
222,Souillac,MU,-20.5167,57.5167,79.36,84,100,15.79,light rain
223,Daru,PG,-9.0763,143.2092,77.25,91,100,11.41,light rain
224,Corinto,GR,37.9407,22.9573,54.68,80,96,2.42,overcast clouds
225,Yekaterinovka,RU,52.0508,44.3451,8.55,98,85,6.98,overcast clouds
226,Ixtapa,MX,20.7,-105.2,85.19,42,25,8.63,scattered clouds
227,Manaure,CO,11.7751,-72.4445,80.24,68,70,18.14,broken clouds
228,Mackay,AU,-21.15,149.2,74.68,77,44,16.55,scattered clouds
229,San Policarpo,PH,12.1791,125.5072,79.81,75,100,17.43,overcast clouds
230,Nyrob,RU,60.733,56.7202,4.73,97,70,4.52,broken clouds
231,Dubbo,AU,-32.25,148.6167,57.33,77,12,8.05,few clouds
232,Coronado,US,32.6859,-117.1831,76.95,21,20,8.99,few clouds
233,Hualmay,PE,-11.0964,-77.6139,75.16,70,22,12.1,few clouds
